top - 13:52:20 up 45 days, 21:51,  2 users,  load average: 0.26, 0.27, 0.27
Tasks: 779 total,   1 running, 674 sleeping,   1 stopped,   1 zombie
%Cpu(s):  2.4 us,  0.7 sy,  0.0 ni, 96.7 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem : 32705352 total,  9926436 free, 17225348 used,  5553568 buff/cache
KiB Swap:  2097148 total,  1368572 free,   728576 used. 13096016 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 5336 hutianyu  20   0 16.699g 219276 180224 S 611.8  0.7 108:04.23 code
13053 wqf       20   0 2412716 213032   4256 S 111.8  0.7  72:13.79 gopls
 6172 hutianyu  20   0 7643032 678592  89964 S  52.9  2.1   7482:42 gnome-shell
 9278 hutianyu  20   0 38.604g 394712 184056 S  23.5  1.2  42:27.35 code
 4735 hutianyu  20   0   46488   4652   3372 R  11.8  0.0   0:00.02 top
12989 hutianyu  20   0 34.540g 255748 132160 S  11.8  0.8  81:27.86 code
 6031 hutianyu  20   0 3041844 347680 166668 S   5.9  1.1   2126:49 Xtigervnc
    1 root      20   0  225728   7908   5084 S   0.0  0.0   1:54.33 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.50 kthreadd
    3 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_par_gp
    6 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/0:0H-kb
    9 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mm_percpu_wq
   10 root      20   0       0      0      0 S   0.0  0.0   0:33.58 ksoftirqd/0
   11 root      20   0       0      0      0 I   0.0  0.0  66:54.88 rcu_sched
   12 root      rt   0       0      0      0 S   0.0  0.0   0:13.83 migration/0
   13 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/0
   14 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/0
   15 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/1
   16 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/1
   17 root      rt   0       0      0      0 S   0.0  0.0   0:13.96 migration/1
   18 root      20   0       0      0      0 S   0.0  0.0   0:10.16 ksoftirqd/1
   20 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/1:0H-kb
   21 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/2
   22 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/2
   23 root      rt   0       0      0      0 S   0.0  0.0   0:14.12 migration/2
   24 root      20   0       0      0      0 S   0.0  0.0   0:04.99 ksoftirqd/2
   26 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/2:0H-kb
   27 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/3
   28 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/3
   29 root      rt   0       0      0      0 S   0.0  0.0   0:14.49 migration/3
   30 root      20   0       0      0      0 S   0.0  0.0   0:03.60 ksoftirqd/3
   32 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/3:0H-kb
   33 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/4
   34 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/4
   35 root      rt   0       0      0      0 S   0.0  0.0   0:14.48 migration/4
   36 root      20   0       0      0      0 S   0.0  0.0   0:03.26 ksoftirqd/4
   38 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/4:0H-kb
   39 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/5
   40 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/5
   41 root      rt   0       0      0      0 S   0.0  0.0   0:14.05 migration/5
   42 root      20   0       0      0      0 S   0.0  0.0   0:16.68 ksoftirqd/5
   44 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/5:0H-kb
   45 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/6
   46 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/6
   47 root      rt   0       0      0      0 S   0.0  0.0   0:14.27 migration/6
   48 root      20   0       0      0      0 S   0.0  0.0   0:04.21 ksoftirqd/6
   50 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/6:0H-kb
   51 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/7
   52 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/7
   53 root      rt   0       0      0      0 S   0.0  0.0   0:14.58 migration/7
   54 root      20   0       0      0      0 S   0.0  0.0   0:03.04 ksoftirqd/7
   56 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/7:0H-kb
   57 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/8
   58 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/8
   59 root      rt   0       0      0      0 S   0.0  0.0   0:14.68 migration/8
   60 root      20   0       0      0      0 S   0.0  0.0   0:02.98 ksoftirqd/8
   62 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/8:0H-kb
